SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,P1,P2,P3,P4,P5,P6
PENINSULA,MAX,INDEXADO,MAYOR B,2.0TD,0.09694,0.031076,0.0,0.0,0.0,0.0
PENINSULA,MAX,INDEXADO,MAYOR A,2.0TD,0.110639,0.044775,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,DOMESTICO_EXTRA1P,2.0TD,0.0866532712328767,0.0213045260273972,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,DOMESTICO_EXTRA3P,2.0TD,0.0866532712328767,0.0213045260273972,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,DOMESTICO_MINI,2.0TD,0.0712602739726027,0.0712602739726027,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,DOMESTICO_Precio WEB3P,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,DOMESTICO_PRIME,2.0TD,0.0894477917808218,0.0243567999999999,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_AHORRO,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_AHORRO1P,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRA,2.0TD,0.089024605479452,0.0269723890410958,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRA1P,2.0TD,0.089024605479452,0.0269723890410958,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRAPLUS,2.0TD,0.0959119232876712,0.0272751306301369,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRAPLUS1P,2.0TD,0.0959119232876712,0.0272751306301369,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRATOP,2.0TD,0.0972437835616438,0.0351915671232876,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_EXTRATOP1P,2.0TD,0.0972437835616438,0.0351915671232876,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_MINI1P,2.0TD,0.0712602739726027,0.0712602739726027,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_PROFESIONAL,2.0TD,0.0854103863013698,0.0231346712328767,0.0,0.0,0.0,0.0
BALEARES,FACTOR,FIJO,NEGOCIO_PROFESIONAL1P,2.0TD,0.0854103863013698,0.0231346712328767,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,DOMESTICO_EXTRA1P,2.0TD,0.0866532712328767,0.0213045260273972,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,DOMESTICO_EXTRA3P,2.0TD,0.0866532712328767,0.0213045260273972,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,DOMESTICO_MINI,2.0TD,0.0712602739726027,0.0712602739726027,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,DOMESTICO_Precio WEB3P,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,DOMESTICO_PRIME,2.0TD,0.0894477917808218,0.0243567999999999,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,NEGOCIO_AHORRO,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,FIJO,NEGOCIO_AHORRO1P,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
